contract_id	num_nodes	num_edges	num_wcc	elapsed_time
0	23176194	66749187	170	65710005200
1	1121371	4648079	15475	3670987998
2	8235862	18006639	68	17260555005
3	1749966	4035204	873	3322112509
4	2374302	4198235	33	3851428348
5	519853	8436750	1	5484931021
6	2694940	4479379	99	3687148011
7	99263	285712	4	149793758
8	2679256	2952195	6	1878292450
9	33056	159910	1	75260609
10	177303	356152	11	215204623
11	1353126	2429610	41	1775351212
12	1314242	2048024	4	1690303660
13	219210	615822	52	358660831
14	1355856	2089572	14	1518556109
15	915765	1783706	33	1257966715
16	462372	792996	370	498537798
17	1062503	1900921	79	1423265752
18	1236415	2467609	11	1718212822
19	283522	589773	6	354419172
20	413127	705569	1290	485237614
21	1548628	2390012	14	1578364206
22	26690	147942	1	66678291
23	93438	267617	2	127126750
24	198503	434661	401	252220416
25	21377	31782	37	24483050
26	222980	570960	2	290529254
27	46951	153550	1	71224267
28	691	1277	6	1811170
29	430472	799801	22	466992090
30	735434	1215755	20	925713091
31	670327	1133173	23	799438274
32	1193181	1885665	1	1247837883
33	479857	860862	16	580460513
34	413804	1220568	12	690061769
35	405411	747209	2	413235023
36	564009	808589	76	604753530
37	289226	464237	26	300593201
38	54258	156799	1	79925043
39	206645	394332	1	198395730
40	284469	596354	7	347994370
41	8452	38718	1	22621611
42	339197	622729	6149	407389609
43	194085	382482	4	228261807
44	50344	109590	1	59111853
45	393036	714558	11	469243382
46	733550	746075	1414	489138370
47	366481	642097	7	439526024
48	15637	81264	1	40710473
49	381156	494842	1	308654882
50	77960	162926	1	80657814
51	22251	72037	5	39796467
52	437628	746544	13	459858276
53	246082	522968	156	305531801
54	147278	346989	1	168297412
55	67403	286241	2	126920644
56	1265829	1279029	32	769790752
57	13887	47248	1	27462750
58	2349	1636	734	3291919
59	23881	47658	1	29685669
60	223734	455347	10	244081970
61	297356	541053	8	333354641
62	246166	484214	28	293918956
63	706476	1133632	2	686075840
64	1200726	1202740	5	722731507
65	1199236	1199384	1	712101124
66	596102	1152545	174	581946411
67	262999	525411	12	317679156
68	91882	232692	1	109820870
69	78858	214432	1	114717635
70	604273	1161083	1	568841016
71	124740	330723	2	163246113
72	178864	319472	1	173737366
73	292860	510384	459	322030600
74	387047	633822	22	414791937
75	323664	519335	5	346043182
76	307196	532400	4	320817758
77	297259	505819	29	322084000
78	974789	993630	5	605462429
79	211234	363386	4	231767540
80	21972	131305	1	58125795
81	503562	727135	1	450049391
82	252532	447734	162	276595785
83	4289	2653	1644	5860957
84	214205	424134	4	248534694
85	107690	206274	6	118098497
86	283191	445960	2	275839818
87	70251	88599	1	54683326
88	161355	332121	3	184793302
89	39938	107255	1	56218888
90	130649	198183	1	107817911
91	51083	78150	6	50843123
92	93773	479600	1	216978507
93	106384	217944	8	119984591
94	40623	88375	1	48396257
95	295712	468557	36	298859025
96	277705	445533	2	283597615
97	431525	762013	1	402749145
98	42397	103577	145	58686749
99	15761	63507	1	32630198
