contract_id	alpha	xmin	L	D
0	2.140207	25.000000	-1230670.473872	0.008764
1	2.069239	3.000000	-1136073.696269	0.007478
2	2.642766	3.000000	-4126558.368879	0.006713
3	2.512690	6.000000	-396740.240269	0.005704
4	2.958134	4.000000	-598804.534894	0.012375
5	5.636967	31.000000	-470516.325988	0.154340
6	3.552674	3.000000	-532941.757357	0.013084
7	3.654597	5.000000	-38058.134883	0.025183
8	3.658886	1.000000	-1128516.080887	0.021567
9	3.067392	12.000000	-5860.953350	0.029719
10	2.658036	3.000000	-75842.357888	0.018121
11	3.724685	3.000000	-287430.798194	0.012210
12	3.229333	3.000000	-326833.419894	0.024745
13	2.587608	4.000000	-128973.039601	0.010890
14	3.221475	3.000000	-270760.225073	0.017908
15	3.326350	3.000000	-299893.632834	0.004400
16	2.720767	2.000000	-283901.475951	0.011730
17	3.274672	4.000000	-213116.064193	0.018597
18	2.243584	125.000000	-7487.405014	0.013634
19	2.847946	3.000000	-128040.934363	0.021136
20	2.736423	3.000000	-184233.066516	0.014959
21	5.592709	2.000000	-385013.323590	0.015463
22	3.019241	9.000000	-21710.205313	0.021279
23	4.856014	7.000000	-13096.859502	0.050873
24	2.560627	3.000000	-95194.047354	0.007935
25	3.435539	2.000000	-10556.199357	0.015784
26	4.771052	6.000000	-24930.533417	0.033635
27	5.239319	4.000000	-30506.351842	0.015391
28	3.632332	2.000000	-543.628636	0.073732
29	4.468598	3.000000	-102850.066035	0.009566
30	3.159963	3.000000	-236239.294956	0.016523
31	2.931114	3.000000	-173335.460446	0.023416
32	2.301337	5.000000	-113509.242834	0.007234
33	1.893830	31.000000	-9693.526749	0.015178
34	3.986044	5.000000	-196409.645326	0.017997
35	3.853429	2.000000	-220478.663303	0.017214
36	3.097302	3.000000	-130301.341267	0.029645
37	2.765119	3.000000	-83967.142340	0.025455
38	2.457710	61.000000	-2381.215245	0.034723
39	4.221395	2.000000	-110064.457556	0.020313
40	3.686808	3.000000	-113300.459583	0.011033
41	2.937860	6.000000	-9213.758970	0.016774
42	2.976128	3.000000	-127983.291810	0.008623
43	2.639986	3.000000	-86447.509545	0.014859
44	4.293169	3.000000	-17952.556873	0.036038
45	3.273495	3.000000	-148161.837927	0.013882
46	4.536151	1.000000	-160671.356319	0.017741
47	3.106126	3.000000	-120684.253302	0.017875
48	2.959997	8.000000	-13052.227505	0.013828
49	3.483387	2.000000	-118192.556230	0.003065
50	4.408528	2.000000	-46933.153929	0.033500
51	2.522409	4.000000	-27095.219844	0.016061
52	4.794665	2.000000	-189532.816433	0.034914
53	2.659719	3.000000	-114487.215525	0.017030
54	5.090625	4.000000	-37506.955680	0.030201
55	4.775655	9.000000	-31144.309018	0.043466
56	6.283847	1.000000	-98747.398792	0.002031
57	2.666370	10.000000	-2835.720265	0.022678
58	3.511625	1.000000	-193.748587	0.016673
59	2.101165	6.000000	-3395.686742	0.017987
60	3.865598	2.000000	-166371.571061	0.018906
61	2.938661	3.000000	-94521.448348	0.010391
62	2.630675	5.000000	-46094.717360	0.017528
63	5.321529	2.000000	-187354.421107	0.036875
64	8.795561	1.000000	-20044.631271	0.000554
65	11.591052	1.000000	-3561.761511	0.000035
66	8.427512	2.000000	-92197.667854	0.030139
67	2.947072	4.000000	-63791.261517	0.014778
68	2.451431	2.000000	-101327.533709	0.095823
69	3.272012	9.000000	-17282.487674	0.007881
70	8.399611	2.000000	-93155.955593	0.030770
71	4.660583	4.000000	-35699.274902	0.017141
72	2.380294	1.000000	-201848.428234	0.034138
73	3.315289	3.000000	-72205.202416	0.032450
74	3.318137	3.000000	-77359.104621	0.029855
75	3.080286	3.000000	-88631.778076	0.019344
76	3.933982	2.000000	-157340.119849	0.016622
77	3.945458	2.000000	-179523.553292	0.019376
78	5.228062	1.000000	-146841.631273	0.001862
79	3.030976	3.000000	-68363.609100	0.021575
80	4.405802	7.000000	-21939.295017	0.049109
81	1.966088	142.000000	-3244.122466	0.022498
82	3.914528	2.000000	-159518.017858	0.004300
83	2.815101	1.000000	-463.662703	0.040805
84	3.217236	2.000000	-195406.732621	0.019282
85	2.735078	3.000000	-44326.206431	0.018181
86	3.896380	2.000000	-150479.336593	0.013199
87	2.810963	1.000000	-55202.201399	0.022244
88	3.699406	3.000000	-60822.536921	0.015149
89	9.778180	8.000000	-954.009239	0.014654
90	4.956388	2.000000	-33792.157675	0.018632
91	2.494890	2.000000	-34220.854751	0.018618
92	1.913970	2.000000	-166189.867460	0.051724
93	3.068202	2.000000	-95028.581336	0.022346
94	5.341341	3.000000	-18199.827001	0.051081
95	3.590946	3.000000	-57163.225927	0.018918
96	3.367225	3.000000	-59850.359187	0.026177
97	14.250211	4.000000	-3142.143105	0.014759
98	2.659823	3.000000	-29627.946221	0.015098
99	5.020244	5.000000	-9363.529508	0.035029
